codigo,coord_x,coord_y,coord_z,name,t_e,tipo,tipo_est,web,zona_est,diasppmx18,diasppmx17,codigo2
9,-13.79194444,-75.39055556,1880,CHALLACA PLU,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000009,RP,,10,000009
110,-2.447666667,-72.66747222,240,EL ESTRECHO,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000110,RP,,2,000110
130,-3.8119,-80.50545833,68,RICA PLAYA,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000130,VNP,,8,000130
132,-3.503797222,-80.39503889,2,PUERTO PIZARRO,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000132,VNP,,4,000132
134,-3.567322222,-80.23323611,50,PAPAYAL,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000134,VNP,,2,000134
136,-3.939097222,-80.65058333,131,CAÑAVERAL,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000136,VNP,,2,000136
139,-3.975941667,-80.40181667,228,CABO INGA,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000139,VNP,,1,000139
150,-3.484722222,-73.07944444,103,MAZAN,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000150,RP,,1,000150
152,-3.786527778,-73.29322222,146,PUERTO ALMENDRA,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000152,RP,,3,000152
153,-3.899666667,-73.33833333,133,MORALILLO,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000153,RP,,3,000153
154,-3.763972222,-73.25491667,113,AMAZONAS,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000154,RP,,1,000154
172,-4.002972222,-73.16061111,141,TAMSHIYACU,M,CON,Tipo Convencional,https://www.senamhi.gob.pe/include_mapas/_dat_esta_tipo.php?estaciones=000172,RP,,4,000172
