dma,TemperaturaMax (°c),TemperaturaMin (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Precipitacion (mm),Precipitacion (mm),DirecciondelViento 13h,VelocidaddelViento 13h (m/s)
01-ene-17,19.5,15.5,16,17.4,16,15.8,16.8,15,,11,SE,4
02-ene-17,21,14,15.5,19.8,17.4,14.8,18.6,17.2,0.7,0,SE,4
03-ene-17,22.5,14.5,15.6,21.4,18.8,15.4,19.8,18.2,2.7,0,SE,10
04-ene-17,24.5,14,16,23.2,19.2,15.8,20.6,18.8,0,0,C,
05-ene-17,23.5,14,17.2,23,16.4,16.8,22,16,0,17.9,SE,6
06-ene-17,20,14.5,15,19.2,15.8,14.8,17,15.6,26.9,12.1,SE,8
07-ene-17,22.4,14.5,15.8,21,16.8,14.6,19.8,16,1.1,0.5,SE,6
08-ene-17,24,15,15.6,22.4,18.8,15.2,19,18,0.2,0,C,
09-ene-17,25.5,15.5,18,24.8,18.8,15.8,22,18.2,0,10.1,SE,10
10-ene-17,26.5,16.5,18,25.6,16.6,17,23,16,0,0,SE,10
11-ene-17,22,12.5,14.6,20.2,18.6,13,19.2,17.8,0,0,SE,4
12-ene-17,22.5,14.5,15.2,22,18,15,19.8,17.8,3.1,1,C,
13-ene-17,21.5,14.5,15.6,20.2,17.8,15.4,19.4,17,2.4,0.3,SE,6
14-ene-17,24.4,14.5,15.4,19.6,17.2,14.4,18,16.4,0,9.7,NE,8
15-ene-17,23,14.8,15,22.2,18.6,14.6,20.8,15.4,0.8,0,S,4
16-ene-17,25.5,14,14.8,25,19.4,13.4,19.8,16,0,0,NE,6
17-ene-17,26.2,13.6,15.2,25,19.8,13.2,19.4,15.8,0,0,SE,10
18-ene-17,26,14.5,14.8,25.4,20.4,13.2,20.2,17.2,0,0,SW,6
19-ene-17,26.5,14.5,16,24.4,19.9,14.2,19.8,16.8,0,0,NE,4
20-ene-17,20.6,15.4,15.4,17.6,15.8,15,16.6,15.2,3.4,15.1,S,2
21-ene-17,23.6,13.6,14.4,23.8,18.6,13.2,18.2,16.2,0,0,SE,8
22-ene-17,23.5,14.5,15.2,21.2,17.8,14.6,18.8,15.4,5.5,8.4,SE,4
23-ene-17,26.5,14.8,15.4,25.2,20.4,14.2,19.8,16.2,0,0,SE,8
24-ene-17,26.2,15,15.8,24.8,19.6,13.4,19.6,16.2,0,0,E,8
25-ene-17,20,15,15.4,19.8,16,14.8,17.8,15.6,0.2,6.5,C,
26-ene-17,19.6,14.5,15,14,15.6,14.8,12,15.2,1.4,7.3,SE,8
27-ene-17,19.8,14.5,15,18,16.6,14.6,16.8,15.8,0,2.6,E,4
28-ene-17,19,14.5,15,17.2,16.2,14.8,16.4,15.2,2.8,5.8,S,2
29-ene-17,21.5,13.8,15.2,20,18.8,14.6,17.2,18.2,0,0,E,2
30-ene-17,22.4,14.5,15.2,19.4,18.2,15,19,18,0,0,C,
31-ene-17,25.5,15,15.6,23,17.6,15.2,19.8,17.2,0,0,S,6
01-feb-17,22.4,15.2,16.2,20.2,15.8,15.6,17.6,15,,11.2,S,4
02-feb-17,23,13.6,14.4,19.8,17.8,13.8,16.4,16.2,2.2,0,E,8
03-feb-17,21.5,14.5,16,20.2,17.4,15.6,18,16.2,7.5,0.7,S,4
04-feb-17,19.5,14.5,15.8,18.6,17,15.2,15.4,15.6,15.2,1.4,SE,10
05-feb-17,19.5,14.6,15.6,17,16.4,14.6,16.2,14.8,1.3,0.7,E,6
06-feb-17,19,13.8,14.2,18.4,15.6,13.8,15.8,15.2,0,0,NE,4
07-feb-17,19,14.5,15,18.8,16.4,14.8,15.8,15.4,0,0.5,S,4
08-feb-17,20.2,15.5,15.4,20,17.2,15,17.2,15.8,0.6,0,SE,6
09-feb-17,24.4,15,15.8,21.2,16.4,15,18.2,16.2,0,0,SE,6
10-feb-17,24,13.8,16.2,22.6,19,15,17.6,15,0,3.1,SE,6
11-feb-17,20.5,14,15.2,17,19.6,13.6,15.4,14.2,16,0,NE,12
12-feb-17,26.5,11.8,14.4,25.8,19.4,14,16.4,13.2,0,0,SW,4
13-feb-17,26.5,15,15.2,26.2,19.2,10.4,17,13.6,0,0,SE,18
14-feb-17,25.5,13,13.6,24.8,21.4,9.4,14,12,0,0,W,8
15-feb-17,26.5,12,14.8,24.8,19.4,13.8,16,15.2,0,0,S,10
16-feb-17,26,13.6,14.2,25.4,20,11.6,15.8,14.4,0,0,SW,18
17-feb-17,26,14,15.2,24.4,18.8,11.8,16.8,13.6,0,0,NW,8
18-feb-17,26.4,13,14.8,25,20,11.6,16.6,13.6,0,0,SE,6
19-feb-17,25.5,13.5,14.8,24.8,19,11.6,17.6,16.8,0,0,W,6
20-feb-17,25,14.8,16.4,24.2,19.6,15,18,15.2,5.7,0,SE,12
21-feb-17,24.8,15,16,23.8,18.6,13.6,16.8,14.8,0.9,0.1,SE,8
22-feb-17,24.8,13.5,15,24,19.4,13.4,18.9,17.4,0.5,0,SE,12
23-feb-17,25.5,13.5,14.6,25,17,13,18,16.8,0,3.8,S,12
24-feb-17,23.5,14.5,14.8,21.6,18.2,14.6,18,17.2,0.2,0,E,6
25-feb-17,23.5,13,13.8,23,18.8,13.6,22.4,18.4,3.5,0.2,SE,6
26-feb-17,25,13.5,17,22.8,18.6,16.8,22.2,17.8,0,0,SE,12
27-feb-17,23.5,13.5,13.8,22.2,17.6,13.4,21.2,17.4,0.2,1.1,SE,8
28-feb-17,21.5,13.8,14.4,19.8,17,14,18.8,16.8,0.2,0,SE,2
01-mar-17,23.5,15,15.2,20,17.8,15,19.6,17.6,4.2,1,W,6
02-mar-17,24.5,13.5,14.6,23.2,17.2,13.2,22.2,17,0,2.4,NE,8
03-mar-17,21.5,14.5,15,21,16.2,14.6,19.6,16,29,3,SE,6
04-mar-17,20,14,14.8,18.8,15.8,14.2,18,15.4,0.1,1.4,C,
05-mar-17,19.5,14,14.6,19,17.2,14.2,17.8,17,0.4,0,E,16
06-mar-17,22.5,12.5,14.8,19.8,18.4,14,19,18,0,0,NE,6
07-mar-17,25.5,14.5,15.4,22.2,18.8,15.2,21.2,18,0.1,0,E,6
08-mar-17,23,15.2,15.8,21.4,19.2,15.8,20.6,19,3.5,0,SE,6
09-mar-17,19.5,15,15.2,17.4,16.2,15,17.2,16,48,32.6,N,4
10-mar-17,22,15,15.4,21.6,17.4,15.2,21.2,17.2,12.3,0.3,SE,8
11-mar-17,23.5,14,14.2,21.2,16.8,14.2,20.6,16.6,12.5,4.9,C,
12-mar-17,24.4,14,15.2,24,18.2,14.4,18.8,17.4,0.1,0.1,SE,10
13-mar-17,24.5,15,15.6,23.8,19.4,15.2,19.8,18.6,8.1,0,SE,6
