dma,TemperaturaMax (°c),TemperaturaMin (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Precipitacion (mm),Precipitacion (mm),DirecciondelViento 13h,VelocidaddelViento 13h (m/s),pp,p99,p95,p90,p75
01-ene-17,14.8,5,4.3,12.3,9.9,3.1,10,8.7,,6,N,4,6,25,19.5,15.8,11
02-ene-17,16,4.6,3.4,15.3,10.1,2.8,11,9.9,0,6,NE,6,6,25,19.5,15.8,11
03-ene-17,16,5,4.3,14.8,9.8,3.8,11.2,8.7,25,15,W,5,40,25,19.5,15.8,11
04-ene-17,12.6,0.6,6.8,11.2,8,6.6,10.6,7.6,2.9,5.8,N,2,8.7,25,19.5,15.8,11
05-ene-17,15,4.6,7.4,13.4,10.6,6.7,9.8,9.5,5.8,0,N,6,5.8,25,19.5,15.8,11
06-ene-17,14.2,4.9,7.8,12.9,10.6,7.6,11.4,10,0,0,NE,3,0,25,19.5,15.8,11
07-ene-17,15.1,5,8.6,13.6,9.4,7.4,11.2,8.6,0,8.7,W,4,8.7,25,19.5,15.8,11
08-ene-17,17.4,2,7.4,16.2,11.8,5.8,13.8,11.1,0,1.5,N,6,1.5,25,19.5,15.8,11
09-ene-17,16,3.6,10.5,16.6,8.4,8.6,12.4,8.2,0,0,E,4,0,25,19.5,15.8,11
10-ene-17,14.5,4.2,8.4,13,9.6,7.3,10.8,8.8,2.8,0,S,6,2.8,25,19.5,15.8,11
11-ene-17,14.8,4.8,8.1,13.4,11,7.4,11.4,10.4,2.9,0,N,4,2.9,25,19.5,15.8,11
12-ene-17,13.9,5,8.4,12.6,10.4,7.6,10.7,9.8,1.5,0,S,4,1.5,25,19.5,15.8,11
13-ene-17,15,3,8.6,12.4,11.3,7.5,10.2,10.6,5.3,1.5,W,4,6.8,25,19.5,15.8,11
14-ene-17,13.6,4.2,7.4,10.6,11,6.8,9.4,10.6,4.7,0,C,,4.7,25,19.5,15.8,11
15-ene-17,15,3.4,7.2,13,8.6,6.4,10,7.9,3.4,0,C,,3.4,25,19.5,15.8,11
16-ene-17,15,1.8,5.4,11.6,10.6,4.6,10.2,9.9,10,0,S,1,10,25,19.5,15.8,11
17-ene-17,14.6,2.8,7.6,11.2,9.8,6.8,10,7.8,0,4.9,E,3,4.9,25,19.5,15.8,11
18-ene-17,13.8,3.3,7,12.6,8.6,6.2,10.8,7.4,4.8,0,E,6,4.8,25,19.5,15.8,11
19-ene-17,15,2.8,7.4,13,11,6.2,10.6,9.8,0,0,S,3,0,25,19.5,15.8,11
20-ene-17,14,0.8,4.6,11,9.2,4,9.1,8.6,17,0,N,3,17,25,19.5,15.8,11
21-ene-17,11.3,2.2,5.4,8.4,9.6,4.6,7.1,8.9,7.7,0,E,4,7.7,25,19.5,15.8,11
22-ene-17,14,3,6.6,12.5,9.9,6.2,10.8,9.6,5,0,C,,5,25,19.5,15.8,11
23-ene-17,15.6,2.6,6.5,13.4,10.4,5.4,11.2,9.8,14,0,S,2,14,25,19.5,15.8,11
24-ene-17,15.6,4,8,14.8,9.8,7.1,12.6,12.6,3.5,0,E,4,3.5,25,19.5,15.8,11
