dma,Precipitacion (mm),Precipitacion (mm),ppd,p99,p95,p90,p75
01-ene-17,0.4,3.4,3.8,23.9,17,12.5,8.1
02-ene-17,0,2.1,2.1,23.9,17,12.5,8.1
03-ene-17,0,-888,,23.9,17,12.5,8.1
04-ene-17,0,0,0,23.9,17,12.5,8.1
05-ene-17,0,0,0,23.9,17,12.5,8.1
06-ene-17,0,6.4,6.4,23.9,17,12.5,8.1
07-ene-17,1,6.2,7.2,23.9,17,12.5,8.1
08-ene-17,0.6,0.3,0.9,23.9,17,12.5,8.1
09-ene-17,0,3.7,3.7,23.9,17,12.5,8.1
10-ene-17,3.5,4.9,8.4,23.9,17,12.5,8.1
11-ene-17,1.7,1,2.7,23.9,17,12.5,8.1
12-ene-17,0.5,4.6,5.1,23.9,17,12.5,8.1
13-ene-17,0.5,4,4.5,23.9,17,12.5,8.1
14-ene-17,1.5,5.3,6.8,23.9,17,12.5,8.1
15-ene-17,6.5,5.6,12.1,23.9,17,12.5,8.1
16-ene-17,4.8,2.5,7.3,23.9,17,12.5,8.1
17-ene-17,1,-888,,23.9,17,12.5,8.1
18-ene-17,0,-888,,23.9,17,12.5,8.1
19-ene-17,0.2,0,0.2,23.9,17,12.5,8.1
20-ene-17,0,6.3,6.3,23.9,17,12.5,8.1
21-ene-17,-888,7.1,,23.9,17,12.5,8.1
22-ene-17,3.5,13.3,16.8,23.9,17,12.5,8.1
23-ene-17,4.5,4.2,8.7,23.9,17,12.5,8.1
24-ene-17,1,0.6,1.6,23.9,17,12.5,8.1
25-ene-17,0.3,6.5,6.8,23.9,17,12.5,8.1
26-ene-17,0,1.2,1.2,23.9,17,12.5,8.1
27-ene-17,1.7,3.6,5.3,23.9,17,12.5,8.1
28-ene-17,0,2.2,2.2,23.9,17,12.5,8.1
29-ene-17,0.2,4.6,4.8,23.9,17,12.5,8.1
30-ene-17,0,6.1,6.1,23.9,17,12.5,8.1
31-ene-17,1.6,7.5,9.1,23.9,17,12.5,8.1
01-feb-17,0,1.5,1.5,31,18.5,14,9
02-feb-17,4.5,3.2,7.7,31,18.5,14,9
03-feb-17,0,9.8,9.8,31,18.5,14,9
04-feb-17,3.2,9.5,12.7,31,18.5,14,9
05-feb-17,0.2,4.4,4.6,31,18.5,14,9
06-feb-17,2,3.1,5.1,31,18.5,14,9
07-feb-17,0.4,7.4,7.8,31,18.5,14,9
08-feb-17,0.3,-888,,31,18.5,14,9
09-feb-17,0.9,1.2,2.1,31,18.5,14,9
10-feb-17,0.3,2.1,2.4,31,18.5,14,9
11-feb-17,0.4,0,0.4,31,18.5,14,9
12-feb-17,0,0,0,31,18.5,14,9
13-feb-17,0.2,0,0.2,31,18.5,14,9
14-feb-17,0.5,8.3,8.8,31,18.5,14,9
15-feb-17,2,3.3,5.3,31,18.5,14,9
16-feb-17,0,7.1,7.1,31,18.5,14,9
17-feb-17,0.4,4.1,4.5,31,18.5,14,9
18-feb-17,0.5,1.2,1.7,31,18.5,14,9
19-feb-17,0.5,9,9.5,31,18.5,14,9
20-feb-17,0.9,3.1,4,31,18.5,14,9
21-feb-17,1.5,2.4,3.9,31,18.5,14,9
22-feb-17,0,6.4,6.4,31,18.5,14,9
23-feb-17,7.1,0,7.1,31,18.5,14,9
24-feb-17,0,1.1,1.1,31,18.5,14,9
25-feb-17,2,17.7,19.7,31,18.5,14,9
26-feb-17,5,7.6,12.6,31,18.5,14,9
27-feb-17,3.1,3.6,6.7,31,18.5,14,9
28-feb-17,2,1,3,31,18.5,14,9
01-mar-17,2.5,1.1,3.6,22,16.7,13.4,9
02-mar-17,1,0,1,22,16.7,13.4,9
03-mar-17,0,1.6,1.6,22,16.7,13.4,9
04-mar-17,2.5,5.8,8.3,22,16.7,13.4,9
05-mar-17,1.2,3.5,4.7,22,16.7,13.4,9
06-mar-17,0.8,7,7.8,22,16.7,13.4,9
07-mar-17,1.5,15.1,16.6,22,16.7,13.4,9
08-mar-17,2.3,7.6,9.9,22,16.7,13.4,9
09-mar-17,0,15.5,15.5,22,16.7,13.4,9
10-mar-17,3,6.8,9.8,22,16.7,13.4,9
11-mar-17,4.8,5.1,9.9,22,16.7,13.4,9
12-mar-17,1.4,13,14.4,22,16.7,13.4,9
13-mar-17,0.6,18.3,18.9,22,16.7,13.4,9
14-mar-17,15.2,8.7,23.9,22,16.7,13.4,9
15-mar-17,16.3,17.1,33.4,22,16.7,13.4,9
16-mar-17,4.5,18.3,22.8,22,16.7,13.4,9
17-mar-17,0.7,1,1.7,22,16.7,13.4,9
18-mar-17,1.1,14.6,15.7,22,16.7,13.4,9
19-mar-17,4.4,3.1,7.5,22,16.7,13.4,9
20-mar-17,5.8,5,10.8,22,16.7,13.4,9
21-mar-17,7.6,3,10.6,22,16.7,13.4,9
22-mar-17,3.2,13.8,17,22,16.7,13.4,9
23-mar-17,1,12.7,13.7,22,16.7,13.4,9
24-mar-17,4.9,6.5,11.4,22,16.7,13.4,9
25-mar-17,0.3,4.3,4.6,22,16.7,13.4,9
26-mar-17,1.1,8.1,9.2,22,16.7,13.4,9
27-mar-17,2.5,7.6,10.1,22,16.7,13.4,9
28-mar-17,11.5,1.9,13.4,22,16.7,13.4,9
29-mar-17,1,1.5,2.5,22,16.7,13.4,9
30-mar-17,1.5,13.5,15,22,16.7,13.4,9
31-mar-17,8,2.2,10.2,22,16.7,13.4,9
01-ene-18,0,0,0,23.9,17,12.5,8.1
02-ene-18,0,0,0,23.9,17,12.5,8.1
03-ene-18,0,0,0,23.9,17,12.5,8.1
04-ene-18,0,0,0,23.9,17,12.5,8.1
05-ene-18,0,3,3,23.9,17,12.5,8.1
06-ene-18,0,4.6,4.6,23.9,17,12.5,8.1
07-ene-18,0,0.5,0.5,23.9,17,12.5,8.1
08-ene-18,0.6,3.2,3.8,23.9,17,12.5,8.1
09-ene-18,0,7,7,23.9,17,12.5,8.1
10-ene-18,0,5.2,5.2,23.9,17,12.5,8.1
11-ene-18,1.8,5,6.8,23.9,17,12.5,8.1
12-ene-18,0.8,7.8,8.6,23.9,17,12.5,8.1
13-ene-18,0,4.7,4.7,23.9,17,12.5,8.1
14-ene-18,0,3.1,3.1,23.9,17,12.5,8.1
15-ene-18,3.9,4,7.9,23.9,17,12.5,8.1
16-ene-18,1,1.8,2.8,23.9,17,12.5,8.1
17-ene-18,4.2,9,13.2,23.9,17,12.5,8.1
18-ene-18,20.9,5.7,26.6,23.9,17,12.5,8.1
19-ene-18,0,2.1,2.1,23.9,17,12.5,8.1
20-ene-18,0,2.5,2.5,23.9,17,12.5,8.1
21-ene-18,0,1.2,1.2,23.9,17,12.5,8.1
22-ene-18,2.4,8.2,10.6,23.9,17,12.5,8.1
23-ene-18,0,0,0,23.9,17,12.5,8.1
24-ene-18,0,0,0,23.9,17,12.5,8.1
25-ene-18,0,10.5,10.5,23.9,17,12.5,8.1
26-ene-18,0,0,0,23.9,17,12.5,8.1
27-ene-18,0,0,0,23.9,17,12.5,8.1
28-ene-18,0,0,0,23.9,17,12.5,8.1
29-ene-18,0,0,0,23.9,17,12.5,8.1
30-ene-18,0,0,0,23.9,17,12.5,8.1
31-ene-18,0,0,0,23.9,17,12.5,8.1
01-feb-18,0,0,0,31,18.5,14,9
02-feb-18,0,0,0,31,18.5,14,9
03-feb-18,0,0,0,31,18.5,14,9
04-feb-18,0,0,0,31,18.5,14,9
05-feb-18,0,0,0,31,18.5,14,9
06-feb-18,0,0,0,31,18.5,14,9
07-feb-18,0,0,0,31,18.5,14,9
08-feb-18,0,0,0,31,18.5,14,9
09-feb-18,0,0,0,31,18.5,14,9
10-feb-18,0,0.5,0.5,31,18.5,14,9
11-feb-18,0,0,0,31,18.5,14,9
12-feb-18,0,0.7,0.7,31,18.5,14,9
13-feb-18,0.3,1.8,2.1,31,18.5,14,9
14-feb-18,0.6,3,3.6,31,18.5,14,9
15-feb-18,10,2,12,31,18.5,14,9
16-feb-18,5.1,10.1,15.2,31,18.5,14,9
17-feb-18,1.6,4.6,6.2,31,18.5,14,9
18-feb-18,5,11.1,16.1,31,18.5,14,9
19-feb-18,0.4,0,0.4,31,18.5,14,9
20-feb-18,0,0,0,31,18.5,14,9
21-feb-18,0,0,0,31,18.5,14,9
22-feb-18,0,0,0,31,18.5,14,9
23-feb-18,0,0,0,31,18.5,14,9
24-feb-18,0,0,0,31,18.5,14,9
25-feb-18,0,-888,,31,18.5,14,9
26-feb-18,2,2.1,4.1,31,18.5,14,9
27-feb-18,2,0.9,2.9,31,18.5,14,9
28-feb-18,0,1.8,1.8,31,18.5,14,9
01-mar-18,0.2,8.2,8.4,22,16.7,13.4,9
02-mar-18,0,3,3,22,16.7,13.4,9
03-mar-18,2.5,5.1,7.6,22,16.7,13.4,9
04-mar-18,1.3,5.5,6.8,22,16.7,13.4,9
05-mar-18,2.5,-888,,22,16.7,13.4,9
06-mar-18,0,4,4,22,16.7,13.4,9
07-mar-18,2.3,1.8,4.1,22,16.7,13.4,9
08-mar-18,0,0,0,22,16.7,13.4,9
09-mar-18,0,6.7,6.7,22,16.7,13.4,9
10-mar-18,0,0,0,22,16.7,13.4,9
11-mar-18,0,0.3,0.3,22,16.7,13.4,9
12-mar-18,0.7,4.2,4.9,22,16.7,13.4,9
13-mar-18,0.4,0,0.4,22,16.7,13.4,9
14-mar-18,0.1,5.5,5.6,22,16.7,13.4,9
15-mar-18,0,0.4,0.4,22,16.7,13.4,9
16-mar-18,0,0,0,22,16.7,13.4,9
17-mar-18,0,3.6,3.6,22,16.7,13.4,9
18-mar-18,2.7,10.2,12.9,22,16.7,13.4,9
19-mar-18,0,1.4,1.4,22,16.7,13.4,9
20-mar-18,0,0,0,22,16.7,13.4,9
21-mar-18,0,0.3,0.3,22,16.7,13.4,9
22-mar-18,0.1,4.1,4.2,22,16.7,13.4,9
23-mar-18,2.6,29.5,32.1,22,16.7,13.4,9
24-mar-18,0.5,5.2,5.7,22,16.7,13.4,9
25-mar-18,0.3,3.4,3.7,22,16.7,13.4,9
26-mar-18,3.1,3.8,6.9,22,16.7,13.4,9
27-mar-18,3.7,6.8,10.5,22,16.7,13.4,9
28-mar-18,0.6,1.3,1.9,22,16.7,13.4,9
29-mar-18,0.4,1.9,2.3,22,16.7,13.4,9
30-mar-18,0,2.1,2.1,22,16.7,13.4,9
31-mar-18,0.6,0.2,0.8,22,16.7,13.4,9
