Día/mes/año,Precipitacion (mm),Precipitacion (mm)
01-Ene-2017,0,2.8
02-Ene-2017,.2,4.8
03-Ene-2017,.3,0.0
04-Ene-2017,0,0.0
05-Ene-2017,0,0.0
06-Ene-2017,0,3.2
07-Ene-2017,.5,4.5
08-Ene-2017,.2,0.4
09-Ene-2017,0,0.4
10-Ene-2017,0,2.1
11-Ene-2017,.9,1.7
12-Ene-2017,8.2,5.2
13-Ene-2017,1.3,5.4
14-Ene-2017,0,0.2
15-Ene-2017,0,8.2
16-Ene-2017,1.2,5.8
17-Ene-2017,.2,0.3
18-Ene-2017,1.8,0.1
19-Ene-2017,1,1.1
20-Ene-2017,1.2,0.2
21-Ene-2017,1.2,3.3
22-Ene-2017,6.4,2.0
23-Ene-2017,9,3.0
24-Ene-2017,2.9,3.9
25-Ene-2017,6.5,4.5
26-Ene-2017,1.2,2.6
27-Ene-2017,.2,3.7
28-Ene-2017,.3,0.0
29-Ene-2017,.2,1.2
30-Ene-2017,1.8,5.7
31-Ene-2017,2.7,16.1
01-Feb-2017,.1,0.4
02-Feb-2017,4,6.0
03-Feb-2017,1.7,7.0
04-Feb-2017,.2,4.1
05-Feb-2017,0,1.7
06-Feb-2017,0,2.2
07-Feb-2017,.2,4.8
08-Feb-2017,0,11.2
09-Feb-2017,1.2,0.0
10-Feb-2017,.2,6.5
11-Feb-2017,1.6,6.1
12-Feb-2017,.7,2.5
13-Feb-2017,.8,0.0
14-Feb-2017,0,7.0
15-Feb-2017,.8,2.2
16-Feb-2017,.4,12.3
17-Feb-2017,.4,5.7
18-Feb-2017,.1,3.3
19-Feb-2017,.2,4.2
20-Feb-2017,.2,0.4
21-Feb-2017,.5,2.4
22-Feb-2017,.1,4.9
23-Feb-2017,.1,2.2
24-Feb-2017,.1,4.8
25-Feb-2017,.1,6.6
26-Feb-2017,6.3,11.6
27-Feb-2017,5.5,3.5
28-Feb-2017,2.8,0.0
01-Mar-2017,0,0.1
02-Mar-2017,2.7,7.0
03-Mar-2017,.2,4.4
04-Mar-2017,.7,2.5
05-Mar-2017,3.5,0.8
06-Mar-2017,1.5,5.0
07-Mar-2017,.2,0.4
08-Mar-2017,.9,2.5
09-Mar-2017,1.4,9.1
10-Mar-2017,2.5,11.8
11-Mar-2017,5,7.7
12-Mar-2017,.5,4.3
13-Mar-2017,2.6,13.0
14-Mar-2017,8.9,14.3
15-Mar-2017,6.3,5.9
16-Mar-2017,3.9,6.1
17-Mar-2017,1.4,1.4
