Día/mes/año,TemperaturaMax (°c),TemperaturaMin (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Precipitacion (mm),Precipitacion (mm),DirecciondelViento 13h,VelocidaddelViento 13h (m/s)
01-Ene-2017,17.1,4.1,6.2,16.1,6.4,6.1,15,6.2,0.0,4.1,,
02-Ene-2017,15.2,6.2,7.1,14.1,6.2,7,13,6.0,8.3,5.2,,
03-Ene-2017,15.1,6.1,7.2,13.3,6.3,7.1,12.2,6.1,1.5,0.0,,
04-Ene-2017,15.1,3.1,5.3,14.3,6.4,5.1,13.2,6.2,0.0,4.5,,
05-Ene-2017,13.1,4.1,6.3,12.3,5.4,6.2,11.2,5.2,3.2,2.4,,
06-Ene-2017,14.2,4.2,7.2,13.2,6.1,7.1,12.1,6.0,2.2,4.5,,
07-Ene-2017,15.1,3.2,5.3,14.2,7.1,5.2,13.1,7.0,0.0,7.2,,
08-Ene-2017,17.2,4.2,6.1,16.1,7.2,6,15.1,7.1,0.0,0.0,,
09-Ene-2017,15.1,3.1,5.3,14.3,6.2,5.2,13.2,6.0,0.0,6.3,,
10-Ene-2017,14.2,2.3,4.4,13.2,5.4,4.2,12.1,5.2,1.2,12.3,,
11-Ene-2017,14.2,4.2,6.2,12.3,6.3,6.1,11.2,6.1,9.4,5.4,,
12-Ene-2017,15.2,3.2,5.3,14.3,7.1,5.2,13.1,7.0,2.1,4.1,,
13-Ene-2017,16.1,4.1,6.2,15.2,7.2,6.1,14.1,7.0,3.4,0.0,,
14-Ene-2017,12.2,3.2,5.3,10.2,6.2,5.2,9.1,6.0,4.1,14.3,,
15-Ene-2017,11.2,3.1,5.2,9.3,6.1,5.1,8.2,6.1,3.2,5.4,,
16-Ene-2017,13.1,2.2,4.3,12.3,5.4,4.2,11.2,5.1,4.2,6.1,,
17-Ene-2017,15.1,3.1,5.2,13.3,6.2,5.1,12.2,6.0,5.1,5.1,,
18-Ene-2017,15.1,3.1,5.2,14.2,6.3,5.1,13.1,6.1,0.0,7.2,,
19-Ene-2017,16.2,4.1,6.2,15.2,7.1,6.1,14.1,7.0,6.3,1.4,,
20-Ene-2017,17.1,3.2,5.3,15.3,7.2,5.2,14.2,7.0,1.2,0.0,,
21-Ene-2017,16.1,4.1,6.2,14.3,7.1,6.1,13.2,7.0,2.2,0.0,,
22-Ene-2017,12.1,3.1,5.3,10.2,6.1,5.2,9.1,6.0,1.4,10.2,,
23-Ene-2017,14.1,2.2,4.3,12.3,6.3,4.2,11.2,6.1,2.3,3.4,,
24-Ene-2017,15.2,3.1,5.2,13.2,7.1,5,12.1,7.0,3.4,6.1,,
25-Ene-2017,12.1,6.1,6.2,10.3,5.3,6.1,9.2,5.1,6.4,18.3,,
26-Ene-2017,14.2,3.1,5.2,12.3,6.4,5.1,11.2,6.2,20.2,3.5,,
27-Ene-2017,16.2,2.3,4.3,15.3,7.1,4.2,14.2,7.1,5.4,0.0,,
28-Ene-2017,16.1,3.1,5.3,14.3,7.2,5.2,13.2,7.0,0.0,0.0,,
29-Ene-2017,17.2,2.3,4.3,15.3,8.1,4.2,14.2,8.0,0.0,0.0,,
30-Ene-2017,18.1,4.1,6.2,16.3,8.2,6.1,15.2,8.0,0.0,2.2,,
31-Ene-2017,14.2,3.1,5.3,13.2,6.3,5.2,12.1,6.1,0.0,3.4,,
01-Feb-2017,17.2,4.2,6.2,15.2,7.2,6.1,14.1,7.0,0.0,0.0,,
02-Feb-2017,16.2,2.2,4.2,14.3,6.4,4.1,13.2,6.2,0.0,4.3,,
03-Feb-2017,17.2,3.1,5.3,15.3,7.2,5.2,14.2,7.0,0.0,2.4,,
04-Feb-2017,15.2,2.3,4.3,14.2,6.3,4.2,13.1,6.1,0.0,3.5,,
05-Feb-2017,18.2,3.1,5.2,17.2,8.1,5.1,16.1,8.0,0.0,0.0,,
06-Feb-2017,17.1,4.1,6.3,16.3,7.3,6.2,15.2,7.1,1.5,3.2,,
07-Feb-2017,16.1,2.3,4.4,15.3,6.4,4.2,14.2,6.2,4.2,8.3,,
08-Feb-2017,14.2,3.1,5.2,12.3,6.2,5.1,11.2,6.0,2.6,7.1,,
09-Feb-2017,15.2,4.2,6.3,14.3,7.1,6.2,13.2,7.0,3.1,5.6,,
10-Feb-2017,12.2,3.1,5.3,10.2,6.2,5.2,9.1,6.0,1.2,16.3,,
11-Feb-2017,14.2,4.1,6.2,12.3,7.1,6.1,11.2,7.0,2.2,6.2,,
12-Feb-2017,12.2,5.1,7.1,10.3,6.4,7,9.2,6.2,0.0,5.4,,
13-Feb-2017,11.2,3.1,5.3,9.3,6.2,5.2,8.2,6.0,1.2,16.3,,
14-Feb-2017,10.2,4.1,6.2,8.3,5.3,6.1,7.2,5.1,1.1,2.3,,
15-Feb-2017,17.2,2.3,4.3,16.2,7.1,4.2,15.1,7.0,0.0,0.0,,
16-Feb-2017,12.1,3.2,5.3,10.2,6.2,5.2,9.1,6.0,0.0,8.2,,
17-Feb-2017,11.2,2.3,4.3,9.3,5.2,4.2,8.2,5.0,1.2,4.3,,
18-Feb-2017,15.1,3.1,5.3,13.2,6.1,5.2,12.1,6.0,0.0,2.2,,
19-Feb-2017,15.1,2.2,4.2,14.2,6.4,4.1,13.1,6.2,2.3,5.2,,
20-Feb-2017,16.2,3.1,5.2,15.3,7.1,5.1,14.2,7.0,0.0,0.0,,
21-Feb-2017,11.2,2.3,4.3,10.2,5.3,4.2,9.1,5.1,2.2,0.0,,
22-Feb-2017,14.2,3.2,5.3,13.2,6.2,5.2,12.1,6.0,6.9,0.0,,
23-Feb-2017,11.2,2.2,4.2,9.3,6.3,4.1,8.2,6.1,0.0,4.1,,
24-Feb-2017,14.1,4.2,6.1,13.2,5.4,6,12.1,5.2,5.3,5.2,,
25-Feb-2017,12.1,3.2,5.3,11.3,6.2,5.2,10.2,6.0,3.4,17.2,,
26-Feb-2017,14.2,2.3,4.3,13.3,5.3,4.2,12.2,5.1,14.1,6.3,,
27-Feb-2017,13.1,2.1,3.2,11.2,6.1,3.1,10.2,6.0,0.0,7.4,,
28-Feb-2017,14.1,3.1,5.2,12.1,6.2,5.1,11,6.1,0.0,2.4,,
01-Mar-2017,14.2,3.2,5.3,13.2,7.1,5.2,12.1,7.0,0.0,2.2,,
02-Mar-2017,13.1,4.1,6.2,11.3,5.3,6.1,10.2,5.1,0.0,5.1,,
03-Mar-2017,14.1,2.2,4.2,13.2,6.2,4.1,12.1,6.0,0.0,9.4,,
04-Mar-2017,15.2,4.1,6.1,14.3,7.2,6,13.2,7.0,10.3,0.0,,
05-Mar-2017,15.1,3.1,5.2,13.3,6.4,5.1,12.2,6.2,4.1,14.2,,
06-Mar-2017,14.2,4.2,6.3,12.2,7.1,6.2,11.1,7.0,5.2,4.5,,
07-Mar-2017,14.1,2.2,4.3,13.2,5.3,4.2,12.1,5.2,4.3,6.4,,
08-Mar-2017,15.2,4.1,6.2,14.3,7.1,6.1,13.2,7.0,3.5,16.1,,
09-Mar-2017,14.2,3.2,5.3,13.2,6.4,5.2,12.1,6.2,5.2,0.0,,
10-Mar-2017,12.1,2.2,4.2,10.2,5.4,4.1,9.1,5.2,4.2,6.2,,
11-Mar-2017,16.1,4.1,6.2,15.2,7.2,6,14.1,7.0,0.0,2.5,,
12-Mar-2017,15.2,2.2,4.3,14.3,7.2,4.2,13.2,7.0,0.0,0.0,,
13-Mar-2017,16.1,3.1,5.1,15.2,7.1,5,14.1,7.0,5.1,9.2,,
14-Mar-2017,14.2,5.1,7.1,13.2,6.3,7,12.1,6.1,7.9,6.1,,
15-Mar-2017,12.1,4.1,6.1,10.3,5.1,6,9.2,5.2,8.3,3.3,,
16-Mar-2017,13.1,3.2,5.3,11.2,6.3,5.2,10.1,6.1,1.2,2.2,,
17-Mar-2017,15.2,2.2,4.3,14.2,7.2,4.2,13.1,7.0,0.0,0.0,,
18-Mar-2017,15.1,3.1,5.2,13.2,7.2,5.1,12.1,7.0,4.5,0.0,,
19-Mar-2017,13.1,2.2,4.3,12.1,6.4,4.2,11,6.2,1.4,0.0,,
20-Mar-2017,17.1,4.1,6.1,16.2,7.2,6,15.1,7.0,2.8,0.0,,
21-Mar-2017,16.2,3.1,5.2,15.3,8.1,5.1,14.2,8.0,10.5,0.0,,
22-Mar-2017,15.2,2.2,4.3,14.3,7.2,4.2,13.2,7.0,4.3,0.0,,
23-Mar-2017,14.1,4.1,6.2,13.2,5.4,6.1,12.1,5.2,1.2,8.4,,
24-Mar-2017,13.2,2.3,4.3,12.3,6.4,4.2,11.2,6.4,1.3,3.2,,
