Día/mes/año,TemperaturaMax (°c),TemperaturaMin (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Precipitacion (mm),Precipitacion (mm),DirecciondelViento 13h,VelocidaddelViento 13h (m/s)
01-Mar-2013,19,10.5,12.4,16.2,12.6,11.8,15,12.4,0.0,2.0,E,4.4
02-Mar-2013,17,10.5,11,14,12.2,10.8,13.4,12.0,0.0,16.8,W,2.5
03-Mar-2013,18,9.5,10,16.6,12.6,9.6,15,12.4,7.2,2.5,N,2.5
04-Mar-2013,20,10.8,12.4,18.2,13.2,12,17.2,13.0,0.0,15.4,E,2.5
05-Mar-2013,18,11.8,12,16,13.2,12,15,13.0,2.6,4.0,N,2.5
06-Mar-2013,21.5,10.5,12.2,17.4,14.2,11.2,16.2,14.0,0.0,4.5,N,2.5
07-Mar-2013,20,12,12.2,18.6,14.6,12.2,16.6,13.6,1.2,4.0,E,4.4
08-Mar-2013,20,11,12,17.6,14.4,11.2,16,14.0,0.0,2.2,N,2.5
09-Mar-2013,20.5,11.2,12.2,19.8,15.4,11,17.2,15.0,0.0,0.0,N,2.5
10-Mar-2013,19,12.5,12.8,17.4,13.8,12,16.5,13.6,0.0,6.2,N,2.5
11-Mar-2013,20,11.5,12.2,18.6,13.2,11.6,16.4,13.2,0.0,11.5,N,4.4
12-Mar-2013,18,11,11.6,17,12.6,11.2,15.2,12.4,0.0,2.5,N,2.5
13-Mar-2013,15.8,11.5,12.6,14.8,13,12.4,14.2,13.0,0.0,6.1,N,2.5
14-Mar-2013,19.5,12,12.2,18.8,13.4,12,16.6,13.2,0.0,4.5,N,2.5
15-Mar-2013,17,9.5,10.2,15.4,13.2,9.6,14.6,13.0,0.0,0.0,N,2.5
16-Mar-2013,18.5,11.5,11.8,18,13.4,11.6,16.6,13.4,0.0,1.6,N,4.4
17-Mar-2013,15.5,11,11.4,13.8,12.2,11.2,13.2,12.0,0.0,12.0,N,1.1
18-Mar-2013,18.8,9.8,11,15,13.2,10.6,13.8,13.0,0.0,0.0,N,2.5
19-Mar-2013,20,11.4,11.8,17.2,13.6,11,15.2,13.2,3.2,0.0,N,2.5
20-Mar-2013,21.5,10,11,21.2,13.4,10.2,18,13.0,0.0,0.0,E,2.5
21-Mar-2013,21.5,9.5,9.8,21.4,13,9.6,17.2,12.6,0.0,0.0,N,4.4
22-Mar-2013,14,10.6,11.2,12.4,11.4,11,12.2,11.0,0.0,0.0,N,1.1
23-Mar-2013,20.8,9.8,9.8,18.2,13.8,9.6,16.4,13.2,6.7,0.0,N,2.5
24-Mar-2013,22.5,9,9,21,15.8,8.6,18.2,14.6,0.0,0.0,N,2.5
25-Mar-2013,21.4,8,8.2,20.8,15.2,6,16.4,13.4,0.0,0.0,N,2.5
26-Mar-2013,22.5,9.8,10,22,14.8,9.2,17,13.4,0.0,0.0,E,2.5
27-Mar-2013,22,10.5,11,18,13.2,10.4,15,12.2,0.0,0.0,E,2.5
28-Mar-2013,21.5,10.8,11.6,20,14,10.4,16.8,13.6,0.0,0.0,E,2.5
29-Mar-2013,22.5,12,13.6,21.4,15,11.4,16.8,14.0,0.0,0.0,N,2.5
30-Mar-2013,22,11,11,20,14.6,10,17.4,12.6,0.0,0.0,N,2.5
31-Mar-2013,22.2,10.2,11.4,21,14,10.2,18.6,12.8,0.0,0.0,E,2.5
01-Ene-2014,24,10.5,12,21.8,14,10.4,16,12.4,0.0,6.5,N,4.4
02-Ene-2014,24.5,9.8,10,24,14.2,9.2,17.8,12.8,0.0,0.0,N,4.4
03-Ene-2014,23,9.8,10.4,22.4,13.6,9.2,16.8,12.6,0.0,0.0,N,4.4
04-Ene-2014,22.5,9.8,10.8,21.6,14.2,9.6,16.5,12.6,0.0,0.0,E,4.4
05-Ene-2014,22.2,11.5,12.6,20.2,14.6,11.8,15.2,12.8,0.0,0.0,E,4.4
06-Ene-2014,25.2,10.5,13.4,25,15,10.4,17.2,12.2,0.0,0.0,N,4.4
07-Ene-2014,20.5,10.6,11.6,20.2,12.6,10.6,14.6,11.0,0.0,0.0,N,4.4
08-Ene-2014,16,10,10.4,13,11,10,12.4,10.6,0.0,0.0,W,2.5
09-Ene-2014,17,8,9.6,13.6,11.2,9,12.6,10.6,6.0,0.0,N,1.1
10-Ene-2014,14,10,10.4,12,10.6,10.2,11.8,10.4,2.5,19.5,N,-999.0
11-Ene-2014,18.5,10.5,10.8,15,12.6,10,14,12.2,2.7,3.0,N,2.5
12-Ene-2014,19.5,10,10.4,15.8,13.6,10,14.6,13.0,0.0,0.0,N,2.5
13-Ene-2014,21.5,11,11.6,16.6,12.8,11,15.2,12.4,7.5,3.5,N,2.5
14-Ene-2014,19.5,9.8,12.6,16.8,13.4,11.8,15.2,13.0,4.0,0.0,N,2.5
15-Ene-2014,21,9.5,11.4,20,12,11,17.6,12.8,3.8,0.0,N,4.4
16-Ene-2014,19.5,10.5,11.2,16.4,13.2,10.8,14.6,12.4,0.0,0.0,N,4.4
17-Ene-2014,19,10,10.2,18.6,14.2,9.8,15,13.2,0.0,3.5,N,2.5
18-Ene-2014,20,11.5,12.8,17,11.4,11.2,15,10.8,3.6,12.0,W,2.5
