Día/mes/año,Precipitacion (mm),Precipitacion (mm)
01-Ene-2014,0,0.0
02-Ene-2014,0,0.0
03-Ene-2014,0,3.1
04-Ene-2014,0,2.7
05-Ene-2014,0,0.0
06-Ene-2014,0,0.0
07-Ene-2014,0,6.9
08-Ene-2014,0,4.3
09-Ene-2014,5.1,0.8
10-Ene-2014,.2,3.1
11-Ene-2014,1.1,3.6
12-Ene-2014,0,0.5
13-Ene-2014,0,0.4
14-Ene-2014,.1,0.0
15-Ene-2014,1.6,0.5
16-Ene-2014,.6,0.2
17-Ene-2014,.6,5.6
18-Ene-2014,3.7,8.0
19-Ene-2014,.5,5.6
20-Ene-2014,0,8.4
21-Ene-2014,0,0.7
22-Ene-2014,0,0.0
23-Ene-2014,.1,0.0
24-Ene-2014,.2,0.0
25-Ene-2014,0,0.0
26-Ene-2014,0,0.0
27-Ene-2014,0,0.0
28-Ene-2014,0,2.0
29-Ene-2014,.1,0.0
30-Ene-2014,0,0.1
31-Ene-2014,0,1.1
01-Feb-2014,3.2,3.0
02-Feb-2014,4.2,0.0
03-Feb-2014,2,0.0
04-Feb-2014,0,0.0
05-Feb-2014,0,1.3
06-Feb-2014,.1,1.2
07-Feb-2014,1,1.0
08-Feb-2014,0,0.4
09-Feb-2014,0,0.0
10-Feb-2014,0,1.4
11-Feb-2014,0,3.9
12-Feb-2014,0,1.1
13-Feb-2014,0,0.0
14-Feb-2014,0,0.1
15-Feb-2014,0,3.6
16-Feb-2014,0,1.0
17-Feb-2014,0,1.3
18-Feb-2014,0,2.0
19-Feb-2014,0,0.3
20-Feb-2014,0,1.5
21-Feb-2014,0,0.5
22-Feb-2014,0,1.3
23-Feb-2014,0,2.2
24-Feb-2014,0,13.5
25-Feb-2014,.1,1.0
26-Feb-2014,0,13.6
27-Feb-2014,3.5,1.6
28-Feb-2014,.6,10.0
01-Mar-2014,.1,2.6
02-Mar-2014,0,1.9
03-Mar-2014,0,1.7
04-Mar-2014,0,8.2
05-Mar-2014,3.7,4.2
06-Mar-2014,.1,2.1
07-Mar-2014,0,13.9
08-Mar-2014,.2,2.4
09-Mar-2014,.5,4.1
10-Mar-2014,0,3.2
11-Mar-2014,0,0.0
12-Mar-2014,0,0.4
13-Mar-2014,2,3.3
14-Mar-2014,6,1.9
15-Mar-2014,0,0.2
16-Mar-2014,0,0.5
17-Mar-2014,0,9.4
18-Mar-2014,0,0.7
19-Mar-2014,0,1.8
20-Mar-2014,0,0.0
21-Mar-2014,0,0.0
22-Mar-2014,0,3.7
23-Mar-2014,0,0.4
24-Mar-2014,0,0.0
25-Mar-2014,0,4.9
26-Mar-2014,0,3.0
27-Mar-2014,0,1.9
28-Mar-2014,0,0.0
29-Mar-2014,0,0.0
30-Mar-2014,0,0.0
31-Mar-2014,0,0.0
01-Ene-2015,0,0.0
02-Ene-2015,0,2.9
03-Ene-2015,0,23.0
04-Ene-2015,.4,8.2
05-Ene-2015,0,9.5
06-Ene-2015,0,3.3
07-Ene-2015,0,3.8
08-Ene-2015,0,2.5
09-Ene-2015,0,1.6
10-Ene-2015,0,0.0
11-Ene-2015,0,2.2
12-Ene-2015,0,0.0
13-Ene-2015,0,0.0
14-Ene-2015,0,0.0
15-Ene-2015,0,0.0
16-Ene-2015,0,0.0
17-Ene-2015,0,0.0
18-Ene-2015,0,0.0
19-Ene-2015,0,0.0
20-Ene-2015,0,2.1
21-Ene-2015,0,3.2
22-Ene-2015,0,9.2
23-Ene-2015,0,4.0
24-Ene-2015,7.7,6.2
25-Ene-2015,2.2,2.1
26-Ene-2015,1.2,0.8
27-Ene-2015,.4,0.0
28-Ene-2015,0,0.0
29-Ene-2015,0,2.2
30-Ene-2015,4.1,7.4
31-Ene-2015,0,3.4
01-Feb-2015,0,1.9
02-Feb-2015,0,0.0
03-Feb-2015,0,0.0
04-Feb-2015,0,2.9
05-Feb-2015,.3,0.0
06-Feb-2015,.4,3.6
07-Feb-2015,.6,1.8
08-Feb-2015,0,1.7
09-Feb-2015,.8,1.5
10-Feb-2015,.7,0.0
11-Feb-2015,.5,0.0
12-Feb-2015,0,0.0
13-Feb-2015,0,8.8
14-Feb-2015,2.5,6.0
15-Feb-2015,.3,3.1
16-Feb-2015,0,11.8
17-Feb-2015,.2,0.0
18-Feb-2015,0,0.0
19-Feb-2015,0,0.0
20-Feb-2015,0,0.0
21-Feb-2015,0,0.0
22-Feb-2015,5.3,2.9
23-Feb-2015,0,2.2
24-Feb-2015,0,2.0
25-Feb-2015,1,0.4
26-Feb-2015,0,0.0
27-Feb-2015,0,0.8
28-Feb-2015,0,1.0
01-Mar-2015,2.7,3.4
02-Mar-2015,0,10.4
03-Mar-2015,0,12.2
04-Mar-2015,0,3.6
05-Mar-2015,.3,1.8
06-Mar-2015,1.2,5.6
07-Mar-2015,0,1.4
08-Mar-2015,0,1.1
09-Mar-2015,0,0.0
10-Mar-2015,0,0.0
11-Mar-2015,0,0.0
12-Mar-2015,0,1.4
13-Mar-2015,0,7.7
14-Mar-2015,0,2.9
15-Mar-2015,.1,5.8
16-Mar-2015,5.6,6.4
17-Mar-2015,.3,3.4
18-Mar-2015,7.5,0.5
19-Mar-2015,7.4,4.7
20-Mar-2015,1.8,1.9
21-Mar-2015,2.1,3.4
22-Mar-2015,.4,9.3
23-Mar-2015,.2,0.1
24-Mar-2015,7.1,3.2
25-Mar-2015,2.2,0.3
26-Mar-2015,0,0.0
27-Mar-2015,0,0.0
28-Mar-2015,0,0.0
29-Mar-2015,0,0.0
30-Mar-2015,0,0.0
31-Mar-2015,0,0.0
01-Ene-2016,0,0.0
02-Ene-2016,0,0.0
03-Ene-2016,0,0.0
04-Ene-2016,0,0.0
05-Ene-2016,0,0.0
06-Ene-2016,0,0.0
07-Ene-2016,0,0.0
08-Ene-2016,0,0.0
09-Ene-2016,0,0.0
10-Ene-2016,0,0.0
11-Ene-2016,0,0.0
12-Ene-2016,0,0.0
13-Ene-2016,0,0.0
14-Ene-2016,0,0.0
15-Ene-2016,0,0.0
16-Ene-2016,0,0.0
